"IP","Year","Month","Day","Week","Date","Time","Page_Access_Method_and_Path","Path","Section","Page","Author","Response_Code","Bytes","User_Agent"
"162.142.125.54",2021,8,9,32,"2021-08-09","00:17:11","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"35.165.96.56",2021,8,9,32,"2021-08-09","03:18:50","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"54.244.206.105",2021,8,9,32,"2021-08-09","03:22:07","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"35.166.151.14",2021,8,9,32,"2021-08-09","03:22:38","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"34.208.13.254",2021,8,9,32,"2021-08-09","03:42:44","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"54.244.206.105",2021,8,9,32,"2021-08-09","03:44:04","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"54.213.230.143",2021,8,9,32,"2021-08-09","03:44:27","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"51.158.127.119",2021,8,9,32,"2021-08-09","04:10:53","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"216.218.206.67",2021,8,9,32,"2021-08-09","04:23:54","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.67.38.55",2021,8,9,32,"2021-08-09","05:01:41","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
"54.39.29.64",2021,8,9,32,"2021-08-09","05:55:18","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36/iYA9HebN-7"
"54.39.29.64",2021,8,9,32,"2021-08-09","05:55:19","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36/iYA9HebN-7"
